Bad, evil, unpleasant, nasty, horrible, obnoxious
Плохой, злой, неприятный, скверный, ужасный, раздражительный
Schlecht, böse, unangenehm, gemein, furchtbar, unausstehlich

Beautiful, pretty, lovely, handsome, attractive, stunning
Красивый, милый, прекрасный, симпатичный, привлекательный, потрясающий
Schön, hübsch, bezaubernd, gutaussehend, attraktiv, umwerfend

Begin, start, open, launch, initiate, commence
Начать, старт, открыть, запустить, инициировать, начинать
Beginnen, starten, öffnen, starten, einleiten, anfangen

Big, enormous, huge, gigantic, large, grand
Большой, огромный, громадный, гигантский, крупный, великолепный
Groß, riesig, enorm, gigantisch, groß, großartig

Boring, dull, uninteresting, lifeless, monotonous, dreary
Скучный, тусклый, неинтересный, безжизненный, монотонный, мрачный
Langweilig, öde, uninteressant, leblos, monoton, trüb

Bright, shining, brilliant, sparkling, shimmering, colorful
Яркий, сияющий, блестящий, искрящийся, мерцающий, красочный
Hell, leuchtend, strahlend, funkelnd, schimmernd, farbenfroh

Calm, quiet, peaceful, still, tranquil, mild
Спокойный, тихий, мирный, неподвижный, безмятежный, мягкий
Ruhig, leise, friedlich, still, ruhig, mild

Cry, shout, yell, scream, roar, weep
Плакать, кричать, вопить, крик, рев, слезы
Weinen, schreien, brüllen, schreien, brüllen, weinen

Dangerous, perilous, hazardous, risky, uncertain, unsafe
Опасный, рискованный, грозный, рискованный, неопределенный, небезопасный
Gefährlich, gefährlich, riskant, riskant, unsicher, unsicher

Dark, shadowy, unlit, gloomy, dim, shaded
Темный, теневой, неосвещенный, мрачный, тусклый, затененный
Dunkel, schattig, unbeleuchtet, düster, dunkel, beschattet

Decide, determine, settle, choose, resolve, rule
Решить, определить, уладить, выбрать, разрешить, правило
Entscheiden, bestimmen, klären, wählen, lösen, herrschen

Definite, certain, sure, determined, clear, obvious
Определенный, уверенный, точный, решительный, ясный, очевидный
Bestimmt, sicher, sicher, entschlossen, klar, offensichtlich

Delicious, tasty, appetizing, delightful, enjoyable, exquisite
Вкусный, аппетитный, аппетитный, восхитительный, приятный, изысканный
Lecker, schmackhaft, appetitlich, köstlich, angenehm, exquisit

Describe, portray, characterize, picture, narrate, report
Описать, изобразить, характеризовать, изображать, рассказать, сообщать
Beschreiben, darstellen, charakterisieren, abbilden, erzählen, berichten

Do, execute, enact, effect, accomplish, achieve
Делать, выполнять, проводить, воздействовать, достигать, достигать
Tun, ausführen, durchführen, bewirken, erreichen, erreichen

End, stop, finish, terminate, conclude, close
Конец, остановить, закончить, прекратить, заключить, закрыть
Ende, stoppen, beenden, beenden, abschließen, schließen

Enjoy, appreciate, relish, devour, like, love
Наслаждаться, ценить, наслаждаться, пожирать, нравиться, любить
Genießen, schätzen, genießen, verschlingen, mögen, lieben

Explain, elaborate, clarify, define, interpret, justify
Объяснить, раскрыть, прояснить, определить, интерпретировать, оправдывать
Erklären, ausführen, klären, definieren, interpretieren, rechtfertigen

Famous, well-known, celebrated, famed, illustrious, notorious
Знаменитый, известный, знаменитый, прославленный, знаменитый, печально известный
Berühmt, bekannt, gefeiert, berühmt, angesehen, berüchtigt

Fast, rapid, hasty, quick, speedy, snappy
Быстрый, стремительный, поспешный, быстрый, быстрый, проворный
Schnell, schnell, hastig, schnell, schnell, flott

Fat, corpulent, plump, chubby, chunky, curvy
Толстый, корпулентный, пухлый, щекастый, массивный, изгибистый
Fett, korpulent, mollig, pummelig, stämmig, kurvig

Fear, fright, dread, scare, horror, panic
Страх, испуг, ужас, страшилка, ужас, паника
Angst, Schrecken, Furcht, Schreck, Horror, Panik

Funny, humorous, amusing, droll, comical, laughable
Смешной, юмористический, забавный, остроумный, комический, смехотворный
Lustig, humorvoll, amüsant, drollig, komisch, lächerlich

Get, acquire, obtain, gain, find, earn
Получить, приобрести, получить, получить, найти, заработать
Bekommen, erwerben, erhalten, gewinnen, finden, verdienen

Go, leave, depart, fade, move, travel
Идти, уходить, уезжать, угасать, двигаться, путешествовать
Gehen, verlassen, abfahren, verblassen, bewegen, reisen

Good, marvelous, excellent, pleasant, wonderful, satisfactory
Хороший, замечательный, отличный, приятный, чудесный, удовлетворительный
Gut, wunderbar, ausgezeichnet, angenehm, wunderbar, zufriedenstellend

Great, noteworthy, worthy, remarkable, considerable, powerful
Великий, заметный, достойный, замечательный, значительный, мощный
Großartig, bemerkenswert, würdig, bemerkenswert, beträchtlich, kraftvoll

Happy, pleased, contented, satisfied, delighted, joyful
Счастливый, довольный, удовлетворенный, удовлетворенный, восхищенный, радостный
Glücklich, zufrieden, zufrieden, zufrieden, erfreut, fröhlich

Hate, despise, loathe, disfavor, dislike, disapprove
Ненависть, презирать, ненавидеть, не одобрять, не любить, не одобрять
Hassen, verachten, verabscheuen, missbilligen, nicht mögen, missbilligen

Have, hold, possess, own, contain, gain
Иметь, держать, обладать, владеть, содержать, приобретать
Haben, halten, besitzen, besitzen, enthalten, gewinnen

Help, aid, assist, support, encourage, serve
Помощь, помощь, помощь, поддержка, поощрение, служить
Hilfe, Hilfe, unterstützen, unterstützen, ermutigen, dienen

Hurt, damage, harm, injure, wound, distress
Повредить, повреждение, вред, травмировать, ранить, страдание
Verletzen, beschädigen, schaden, verletzen, verwunden, Kummer

Idea, thought, concept, conception, understanding, opinion
Идея, мысль, концепция, понимание, понимание, мнение
Idee, Gedanke, Konzept, Vorstellung, Verständnis, Meinung

Important, necessary, vital, valuable, essential, significant
Важный, необходимый, жизненно важный, ценный, существенный, значительный
Wichtig, notwendig, lebenswichtig, wertvoll, wesentlich, bedeutend

Interesting, challenging, provocative, engaging, fascinating, intriguing
Интересный, сложный, провокационный, увлекательный, захватывающий, интригующий
Interessant, herausfordernd, provokativ, fesselnd, faszinierend, faszinierend

Little, tiny, small, limited, microscopic, petite
Маленький, крошечный, маленький, ограниченный, микроскопический, маленький
Klein, winzig, klein, begrenzt, mikroskopisch, zierlich

Look, gaze, see, glance, watch, glimpse
Смотреть, взгляд, видеть, взглянуть, смотреть, увидеть
Schauen, blicken, sehen, blicken, beobachten, flüchtiger Blick

Love, like, admire, cherish, adore, worship
Любить, нравиться, восхищаться, дорожить, обожать, поклоняться
Lieben, mögen, bewundern, schätzen, verehren, anbeten

Make, create, originate, invent, form, construct
Сделать, создать, породить, изобрести, формировать, строить
Machen, erstellen, entstehen, erfinden, bilden, konstruieren

Move, creep, crawl, drag, toddle, shuffle
Двигаться, ползти, ползать, тащить, ходить неуверенно, перетасовывать
Bewegen, kriechen, kriechen, ziehen, watscheln, mischen

New, fresh, original, modern, current, recent
Новый, свежий, оригинальный, современный, текущий, недавний
Neu, frisch, originell, modern, aktuell, kürzlich

Old, ancient, aged, used, former, old-fashioned
Старый, древний, возрастной, использованный, бывший, старомодный
Alt, antik, gealtert, gebraucht, ehemalig, altmodisch

Part, portion, share, piece, section, fragment
Часть, порция, доля, кусок, раздел, фрагмент
Teil, Anteil, Anteil, Stück, Abschnitt, Fragment

Place, space, area, spot, region, location
Место, пространство, область, точка, регион, местоположение
Ort, Raum, Bereich, Fleck, Region, Lage

Put, place, set, attach, establish, assign
Положить, поместить, установить, прикрепить, установить, назначить
Legen, setzen, setzen, anbringen, etablieren, zuweisen

Right, correct, accurate, true, proper, suitable
Правильный, верный, точный, истинный, правильный, подходящий
Richtig, korrekt, genau, wahr, angemessen, geeignet

Say/Tell, inform, notify, narrate, converse, suppose
Сказать/рассказать, информировать, уведомлять, рассказывать, разговаривать, предполагать
Sagen/Erzählen, informieren, benachrichtigen, erzählen, unterhalten, vermuten

Scared, afraid, alarmed, terrified, frightened, horrified
Испуганный, напуганный, обеспокоенный, напуганный, испуганный, ужаснутый
Erschrocken, ängstlich, alarmiert, verängstigt, erschrocken, entsetzt

Take, hold, catch, seize, grasp, acquire
Взять, держать, ловить, схватить, ухватиться, приобрести
Nehmen, halten, fangen, ergreifen, erfassen, erwerben

Think, judge, deem, assume, believe, consider
Думать, судить, считать, предполагать, верить, рассматривать
Denken, beurteilen, erachten, annehmen, glauben, betrachten

